1. 15 31 3 51 35 3 
2. 9 17 0 48 32 3 
3. 14 22 0 58 30 0 
4. 31 39 0 53 37 3 
5. 11 19 0 50 34 3 
6. 8 24 3 56 40 0 
7. 10 18 0 52 36 3 
8. 2 9 0 40 44 0 
9. 4 11 0 59 41 0 
10. 0 8 0 41 43 0 
11. 9 16 0 44 45 0 
12. 11 20 0 61 52 0 
13. 7 31 0 37 29 0 
14. 20 11 0 30 51 0 
15. 22 29 0 36 29 0 
16. 11 2 0 52 59 0 
17. 2 10 0 29 21 0 
18. 12 21 0 43 44 0 
19. 16 34 0 62 47 0 
20. 34 27 0 45 37 0 
21. 31 23 0 60 53 0 
22. 8 16 0 53 52 0 
23. 27 54 0 63 62 0 
24. 54 47 0 44 47 0 
25. 3 12 0 52 53 0 
26. 17 25 0 62 6 0 
27. 18 26 0 32 25 0 
28. 16 0 0 35 26 0 
29. 19 26 0 51 42 0 
30. 12 19 0 25 17 0 
31. 10 17 0 6 5 0 
32. 19 37 0 53 54 0 
33. 23 22 0 54 63 0 
34. 37 36 0 59 45 0 
35. 36 57 0 45 59 0 
36. 57 36 0 59 45 0 
37. 36 57 0 42 60 0 
38. 57 60 0 47 61 0 
39. 60 61 0 
